County Code,state,county,Unemployment 2018,median_income
1000,Alabama,,3.9,49881
1001,Alabama,Autauga County,3.6,59338
1003,Alabama,Baldwin County,3.6,57588
1005,Alabama,Barbour County,5.1,34382
1007,Alabama,Bibb County,3.9,46064
1009,Alabama,Blount County,3.5,50412
1011,Alabama,Bullock County,4.6,29267
1013,Alabama,Butler County,4.7,37365
1015,Alabama,Calhoun County,4.6,45400
1017,Alabama,Chambers County,3.8,39917
1019,Alabama,Cherokee County,3.5,42132
1021,Alabama,Chilton County,3.6,47547
1023,Alabama,Choctaw County,5.4,39907
1025,Alabama,Clarke County,7.4,40741
1027,Alabama,Clay County,3.8,39201
1029,Alabama,Cleburne County,4.2,46495
1031,Alabama,Coffee County,3.9,55122
1033,Alabama,Colbert County,4.5,49055
1035,Alabama,Conecuh County,5.1,32613
1037,Alabama,Coosa County,4.1,42423
1039,Alabama,Covington County,4.5,40203
1041,Alabama,Crenshaw County,4,39057
1043,Alabama,Cullman County,3.2,45796
1045,Alabama,Dale County,4.1,45309
1047,Alabama,Dallas County,6.4,34035
1049,Alabama,DeKalb County,3.8,39491
1051,Alabama,Elmore County,3.4,60367
1053,Alabama,Escambia County,4.5,38418
1055,Alabama,Etowah County,4,44903
1057,Alabama,Fayette County,4,39254
1059,Alabama,Franklin County,3.7,39388
1061,Alabama,Geneva County,3.9,37823
1063,Alabama,Greene County,6.6,28524
1065,Alabama,Hale County,5,34724
1067,Alabama,Henry County,4.4,46027
1069,Alabama,Houston County,4,47993
1071,Alabama,Jackson County,4,41929
1073,Alabama,Jefferson County,3.7,55013
1075,Alabama,Lamar County,3.7,40936
1077,Alabama,Lauderdale County,4.1,48707
1079,Alabama,Lawrence County,4.1,43909
1081,Alabama,Lee County,3.6,48937
1083,Alabama,Limestone County,3.5,64863
1085,Alabama,Lowndes County,7.2,33973
1087,Alabama,Macon County,5.3,32495
1089,Alabama,Madison County,3.4,63755
1091,Alabama,Marengo County,4.9,37733
1093,Alabama,Marion County,4,37887
1095,Alabama,Marshall County,3.3,46233
1097,Alabama,Mobile County,4.6,43598
1099,Alabama,Monroe County,6,39556
1101,Alabama,Montgomery County,3.9,49640
1103,Alabama,Morgan County,3.4,52797
1105,Alabama,Perry County,6.4,26814
1107,Alabama,Pickens County,4.5,37586
1109,Alabama,Pike County,4.5,37259
1111,Alabama,Randolph County,4,40546
1113,Alabama,Russell County,4,39104
1115,Alabama,St. Clair County,3.4,57284
1117,Alabama,Shelby County,2.8,75663
1119,Alabama,Sumter County,5.7,27859
1121,Alabama,Talladega County,4.2,41630
1123,Alabama,Tallapoosa County,4.1,42205
1125,Alabama,Tuscaloosa County,3.6,52557
1127,Alabama,Walker County,4.2,45434
1129,Alabama,Washington County,5.7,44424
1131,Alabama,Wilcox County,9.4,25385
1133,Alabama,Winston County,4.1,41156
2000,Alaska,,6.5,74912
2013,Alaska,,3.1,70081
2016,Alaska,,3.5,82633
2020,Alaska,,5.4,82113
2050,Alaska,,12.7,44304
2060,Alaska,,6.1,77257
2068,Alaska,,7.8,75477
2070,Alaska,,8,54524
2090,Alaska,,5.7,74268
2100,Alaska,,9.6,58943
2105,Alaska,,12.4,51188
2110,Alaska,,4.3,79173
2122,Alaska,,7.5,65439
2130,Alaska,,6,68309
2150,Alaska,,5.8,74109
2164,Alaska,,10.9,49403
2170,Alaska,,7.4,74649
2180,Alaska,,11.3,55318
2185,Alaska,,6.8,89276
2188,Alaska,,13.6,59337
2220,Alaska,,4.1,71825
2230,Alaska,,9.4,74635
2240,Alaska,,9.5,63527
2261,Alaska,,7.2,68528
2282,Alaska,,8.1,59523
2290,Alaska,,14.6,38912
4000,Arizona,,4.7,59079
4001,Arizona,Apache County,9.8,33652
4003,Arizona,Cochise County,5.5,49164
4005,Arizona,Coconino County,5.4,60187
4007,Arizona,Gila County,5.7,43585
